,Unnamed: 0,Name,Location,Locality,City,Cuisine,Rating,Votes,Cost,State
3426,3426,Amnesia Lounge and Bar,"Jaya Chambers,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American",4.0,365,1200,Telangana
3427,3427,Vintage Restaurant And Bar,"Nallakunta, Central Hyderabad", Central Hyderabad,Hyderabad,"North Indian,  Chinese",4.0,10,1000,Telangana
3428,3428,The Living Room,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Desserts,  Bakery and Confectionary,  Coffee",4.1,7,1200,Telangana
3429,3429,Chubby Cho,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Chinese,  Seafood,  Sushi",4.5,109,2500,Telangana
3430,3430,Hashi,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Japanese,  Asian",4.4,204,1000,Telangana
3431,3431,Coco's Bar & Grill,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.2,106,1800,Telangana
3432,3432,Cream Shakes,"SR Nagar, Central East Hyderabad", Central East Hyderabad,Hyderabad,Shakes,1.9,3,300,Telangana
3433,3433,The Funnel Hill Creamery,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Desserts,  Fast Food",4.0,31,1000,Telangana
3434,3434,Skypark Cafe,"Owner's Pride,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",2.5,2,1000,Telangana
3435,3435,Theory Cafe & Dessert Bar,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Continental,  Fast Food,  Shakes",3.9,31,1200,Telangana
3436,3436,Fat Pigeon - Bar Hop,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Continental,  Mexican,  Lebanese",4.5,110,2600,Telangana
3437,3437,SodaBottleOpenerWala,"Niharika Jubilee One,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Parsi,  Iranian",4.4,404,2000,Telangana
3438,3438,Serefe Bar Bistro & Lounge,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Italian,  Continental,  Asian",4.1,229,2600,Telangana
