,Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
3660,Dine O China,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Chinese,  Asian,  Seafood",4.3,338,1100
3661,Sandwich Eatery,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"Fast Food,  Shakes",4.6,26,500
3662,Harley's Fine Baking,"SPG Grand,Kompally, Secunderabad", Secunderabad,Hyderabad,"Continental,  Desserts,  Shakes",4.3,19,500
3663,Groove 9,"Sainikpuri, Secunderabad", Secunderabad,Hyderabad,"Italian,  Continental,  Fast Food",3.9,211,800
3664,Tabla,"APHB Commercial Complex,Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Seafood,  Andhra,  Biryani",4.2,195,900
3665,Balaji Santosh Family Dhaba,"Neredimet, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese",3.8,10,600
3666,Jonathan's Kitchen,"Fairfield by Marriott Hyderabad Gachibowli,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Japanese,  European",4.2,746,1800
3667,Ming Ustad,"Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  South Indian",4.1,263,1100
3668,Cafe Avail,"Indu Arcade,Sainikpuri, Secunderabad", Secunderabad,Hyderabad,"Continental,  Fast Food",4.3,31,500
3669,Chinese Pavilion,"Venkata Sai Ganapathi's Gold,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Chinese,  Seafood",4.4,165,1400
3670,Raju Gari Vantillu,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  South Indian,  Mughlai",3.1,3,1200
3671,Glocal Junction,"Signature Towers,Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"Finger Food,  North Indian,  Italian,  Continental",4.1,474,1600
3672,Paranthe Wali Gali,"Sainikpuri, Secunderabad", Secunderabad,Hyderabad,North Indian,5.0,1,600
3673,Taco Bell,"DSL VIRTUE MALL,Uppal, East Hyderabad", East Hyderabad,Hyderabad,"Mexican,  Tex Mex",3.4,8,500
3674,Malnadu Kitchen - Telangana Cuisine,"Hoysala inn,Kompally, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese,  Andhra,  South Indian",4.2,194,1800
3675,Thinespo,"Kompally, Secunderabad", Secunderabad,Hyderabad,"Italian,  Continental",4.3,23,900
3676,Grandiose,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Arabian",3.5,28,800
3677,Vivaha Bhojanambu,"A S Rao Nagar, Secunderabad", Secunderabad,Hyderabad,South Indian,3.8,61,1000
3678,Pind Balluchi,"Forum Sujana Mall,Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Mughlai",4.1,225,1000
3679,Cream Stone,"Satyanarayana Arcade,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Desserts,  Ice Cream,  Shakes",4.3,31,400
3680,Salaam Namaste,"Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"Hyderabadi,  Andhra,  North Indian",4.1,132,800
3681,Food Exchange,"Novotel Hyderabad Convention Centre,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Asian,  Health Food",3.9,98,2300
3682,Hawte,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"Desserts,  Ice Cream,  Shakes",4.3,23,400
