,Name,Rating,Location,Cuisine,Votes,Cost
1460,Shakey Wakey,4.7/530 votes,"Oshiwara, North Western","Juice,  Shakes,  Fast Food",30 votes,₹ 300 for two (approx.)
1461,Arbab,4.0/533 votes,"Bandra West, Bandra","Lebanese,  Arabian",33 votes,₹ 900 for two (approx.)
1462,The Daily All Day,4.5/569 votes,"Suburbia Mall,Bandra West, Bandra","Multi-Cuisine,  Italian,  Continental,  Mediterranean,  European,  Asian",69 votes,₹ 2000 for two (approx.)
1463,Suruchi Bhog,4.2/53 votes,"Airoli, Navi Mumbai","North Indian,  Chinese,  Seafood",3 votes,₹ 800 for two (approx.)
1464,Hangla's,5.0/51 votes,"Near Andheri West Station, Andheri West","Fast Food,  North Indian",1 votes,₹ 500 for two (approx.)
1465,Heng Bok,4.5/532 votes,"Suburbia Mall,Bandra West, Bandra","Korean,  Seafood",32 votes,₹ 2500 for two (approx.)
1466,Coffee By Di Bella Exclusive,4.2/5133 votes,"Naupada, Thane","Fast Food,  Coffee,  Tea,  Desserts,  Waffle",133 votes,₹ 700 for two (approx.)
1467,Atrangii House Sky Lounge,4.6/575 votes,"Sanpada, Navi Mumbai","North Indian,  Chinese",75 votes,₹ 2000 for two (approx.)
1468,Coffee By Di Bella,4.3/5118 votes,"Kiran Kunj,Bandra West, Bandra","Fast Food,  Coffee,  Tea,  Desserts,  Waffle",118 votes,₹ 700 for two (approx.)
1469,Kofuku,4.4/5114 votes,"Suburbia Mall,Bandra West, Bandra",Japanese,114 votes,₹ 2500 for two (approx.)
1470,Pop Tate's,4.3/5228 votes,"Near Andheri West Station, Andheri West","Chinese,  Italian,  Continental",228 votes,₹ 2000 for two (approx.)
1471,Mad Over Donuts,4.5/541 votes,"Kamal Building,Bandra West, Bandra","Desserts,  Doughnuts,  Waffle",41 votes,₹ 450 for two (approx.)
1472,Frozen Bottle,4.6/524 votes,"Near Andheri West Station, Andheri West","Desserts,  Shakes,  Ice Cream",24 votes,₹ 500 for two (approx.)
1473,Pishu's,4.0/52 votes,"Near Andheri West Station, Andheri West","Juice,  Shakes,  Fast Food,  Health Food",2 votes,₹ 600 for two (approx.)
1474,Mitron,3.9/5109 votes,"Crystal Shoppers Paradise,Bandra West, Bandra","North Indian,  Japanese,  Continental,  Seafood,  Sushi",109 votes,₹ 2000 for two (approx.)
1475,Aromas Cafe,4.5/5114 votes,"Bandra West, Bandra","Italian,  Fast Food,  Desserts,  Coffee,  Tea",114 votes,₹ 1400 for two (approx.)
1476,Jade Raven Multicuisine Restaurant and Bar,4.3/5161 votes,"Ravi Industries,Thane West, Thane","North Indian,  Chinese,  Seafood,  Mughlai",161 votes,₹ 1500 for two (approx.)
1477,Bombay Coffee House,4.3/561 votes,"Neelkamal Building,Bandra West, Bandra","American,  Fast Food,  Coffee",61 votes,₹ 900 for two (approx.)
1478,Aromas Cafe,4.1/562 votes,"Oshiwara, North Western","Italian,  Fast Food,  Desserts,  Coffee,  Tea",62 votes,₹ 1000 for two (approx.)
1479,Roll Me Crazy,4.7/54 votes,"Bandra West, Bandra","Continental,  Fast Food",4 votes,₹ 800 for two (approx.)
1480,99 Pancakes,5.0/51 votes,"Silver Croft Building,Bandra West, Bandra","Bakery and Confectionary,  Desserts,  Fast Food,  Shakes",1 votes,₹ 500 for two (approx.)
1481,Hakkasan,4.5/5311 votes,"Krystal Building,Bandra West, Bandra","Chinese,  Seafood,  Cantonese",311 votes,₹ 2500 for two (approx.)
1482,Punjabi Rasoi,4.0/51 votes,"Hari Niwas,Bandra West, Bandra","North Indian,  Chinese,  Mughlai",1 votes,₹ 600 for two (approx.)
1483,Chaayos - Meri Wali Chai,4.5/521 votes,"Near Andheri West Station, Andheri West",Tea,21 votes,₹ 500 for two (approx.)
1484,Silver Spoon,3.0/53 votes,"Near Andheri West Station, Andheri West","North Indian,  Chinese",3 votes,₹ 600 for two (approx.)
1485,Sazio Fine Dine,4.6/56 votes,"Moraj Palm Paradise,Sanpada, Navi Mumbai","Italian,  Chinese,  Continental",6 votes,₹ 1500 for two (approx.)
1486,Lucky Restaurant,3.9/510 votes,"Goregaon East, North Western","North Indian,  Mughlai,  Chinese",10 votes,₹ 500 for two (approx.)
1487,Nom Nom,4.4/5102 votes,"Near Andheri West Station, Andheri West","Japanese,  Asian,  Oriental ",102 votes,₹ 2000 for two (approx.)
1488,Mad Over Donuts,4.4/525 votes,"Shubham Housing Society,Versova, Andheri West","Desserts,  Doughnuts,  Waffle",25 votes,₹ 450 for two (approx.)
1489,Wanton House,4.1/54 votes,"Near Andheri West Station, Andheri West","North Indian,  Asian,  Seafood,  Fast Food",4 votes,₹ 900 for two (approx.)
1490,1441 Pizzeria,4.6/5213 votes,"Andheri Lokhandwala, Andheri West","Pizza,  Italian",213 votes,₹ 1200 for two (approx.)
1491,Mesa Bistro,3.5/516 votes,"Svenska Design Hotel,Near Andheri West Station, Andheri West","Multi-Cuisine,  North Indian,  Italian,  Continental,  Seafood,  Oriental ",16 votes,₹ 2000 for two (approx.)
1492,Coffee By Di Bella,4.4/5145 votes,"Near Andheri West Station, Andheri West","Fast Food,  Coffee,  Tea,  Desserts,  Waffle",145 votes,₹ 700 for two (approx.)
1493,Cafe Waffles Coffee & More,4.4/54 votes,"Versova, Andheri West","Desserts,  Coffee,  Drinks",4 votes,₹ 300 for two (approx.)
1494,Sai Shraddha Veg Treat,3.9/59 votes,"Shanti Cottage,Thane West, Thane","North Indian,  Chinese,  South Indian,  Fast Food",9 votes,₹ 800 for two (approx.)
1495,Dhamaka Cafe & Lounge Bar,4.0/51 votes,"Bandra West, Bandra","Italian,  Continental,  Chinese,  Mughlai",1 votes,₹ 1500 for two (approx.)
1496,The Calcutta Club,4.0/538 votes,"Near Andheri West Station, Andheri West","Bengali,  North Indian,  Seafood",38 votes,₹ 1000 for two (approx.)
1497,The Atrangii House,4.4/55 votes,"Airoli, Navi Mumbai","North Indian,  Chinese,  Mughlai",5 votes,₹ 2000 for two (approx.)
1498,Social,4.2/5224 votes,"Gagangiri CHS,Bandra West, Bandra","North Indian,  Continental,  Finger Food,  American,  Asian",224 votes,₹ 2000 for two (approx.)
1499,New York Burrito Company,4.2/55 votes,"Oshiwara, North Western",Mexican,5 votes,₹ 600 for two (approx.)
1500,Kissa Stories Over Food,4.3/512 votes,"Andheri Lokhandwala, Andheri West","Italian,  Continental,  Mediterranean,  Asian",12 votes,₹ 1500 for two (approx.)
1501,Gustoso,4.4/5217 votes,"Jharna Apartments,Khar West, Bandra","Italian,  Pizza",217 votes,₹ 2500 for two (approx.)
1502,Jamjar Diner,4.4/5202 votes,"Gazebo House,Bandra West, Bandra","Multi-Cuisine,  Italian,  Mexican,  American,  Health Food",202 votes,₹ 1500 for two (approx.)
1503,Mad Over Donuts,4.4/518 votes,"Near Andheri West Station, Andheri West","Desserts,  Doughnuts,  Waffle",18 votes,₹ 450 for two (approx.)
1504,Dinshaw's Xpress Cafe,4.5/530 votes,"Oshiwara, North Western","Ice Cream,  Italian,  Continental,  Parsi,  Desserts",30 votes,₹ 1500 for two (approx.)
1505,Ottoman Cafe,3.0/521 votes,"Andheri Lokhandwala, Andheri West","North Indian,  Chinese,  Continental,  Mughlai",21 votes,₹ 1000 for two (approx.)
1506,Kill No Kalorie,5.0/57 votes,"Kulkarni CHS Building,Thane West, Thane","Multi-Cuisine,  Italian,  Continental,  Mexican",7 votes,₹ 900 for two (approx.)
1507,New York Burrito Company,4.5/541 votes,"Kalpitam Society,Bandra West, Bandra","Mexican,  Fast Food",41 votes,₹ 600 for two (approx.)
1508,Angrezi Patiyalaa,4.2/588 votes,"Khopat, Thane","Multi-Cuisine,  North Indian,  Asian,  Andhra,  Chettinad,  Fast Food",88 votes,₹ 2000 for two (approx.)
1509,Fire Bowl,3.6/56 votes,"Oshiwara, North Western","Chinese,  Seafood",6 votes,₹ 800 for two (approx.)
1510,Kath N Ghat,4.5/550 votes,"Panch Pakhadi, Thane","Maharashtrian,  North Indian,  Seafood",50 votes,₹ 1500 for two (approx.)
1511,Lucky Restaurant,3.9/556 votes,"Bandra West, Bandra","North Indian,  Mughlai,  Chinese",56 votes,₹ 500 for two (approx.)
1512,Flavors,4.3/594 votes,"Hotel Yogi Metropolitan,Sanpada, Navi Mumbai","North Indian,  Italian,  Chinese,  Seafood",94 votes,₹ 1500 for two (approx.)
1513,Pop Tate's,4.2/5404 votes,"Korum Mall,Thane West, Thane","Chinese,  Italian,  Continental",404 votes,₹ 2000 for two (approx.)
1514,Tossin Pizza,4.6/511 votes,"Rizvi Palace,Bandra West, Bandra","Fast Food,  Pizza,  Italian,  Seafood",11 votes,₹ 1000 for two (approx.)
1515,Warehouse KitchenBar,4.2/5288 votes,"Malad West, North Western","North Indian,  Continental,  Oriental ,  Seafood,  Fast Food",288 votes,₹ 2000 for two (approx.)
1516,Shikara,4.2/570 votes,"Hotel Highway View,Sanpada, Navi Mumbai","North Indian,  Chinese,  Seafood,  Mughlai",70 votes,₹ 1800 for two (approx.)
1517,Harbour O' Four,4.1/5242 votes,"Sun Magnetica Building,Thane West, Thane","North Indian,  Chinese,  Continental,  Fast Food",242 votes,₹ 1600 for two (approx.)
1518,Tibbs Frankie,,"Santacruz East, Bandra",Fast Food,0,₹ 200 for two (approx.)
1519,Urban Tadka,4.3/5243 votes,"Mohit Height Tower,Near Andheri West Station, Andheri West","North Indian,  Mughlai",243 votes,₹ 1600 for two (approx.)
1520,Gajalee,4.5/577 votes,"Near Andheri West Station, Andheri West","Seafood,  Malvani,  North Indian",77 votes,₹ 1500 for two (approx.)
1521,Mi Hi Koli,4.0/5307 votes,"Ajit Darshan Building,Thane West, Thane","Seafood,  Maharashtrian,  Malvani",307 votes,₹ 1000 for two (approx.)
1522,Frozen Bottle,4.5/519 votes,"Mazgaon, South Mumbai","Desserts,  Shakes,  Ice Cream",19 votes,₹ 500 for two (approx.)
1523,The Irish House,4.4/5174 votes,"Gasper Enclave,Bandra West, Bandra","Continental,  American,  European",174 votes,₹ 2000 for two (approx.)
1524,Kasbah Grand,4.1/5401 votes,"Chandiwala Arcade,Goregaon West, North Western","Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Asian,  Arabian,  Mughlai",401 votes,₹ 2000 for two (approx.)
1525,Green Leaf,4.2/555 votes,"Balwanth Niwas,Thane West, Thane","North Indian,  Chinese,  Fast Food",55 votes,₹ 900 for two (approx.)
1526,Mia Cuccinna,4.2/596 votes,"Bandra West, Bandra","Fast Food,  Italian,  Continental",96 votes,₹ 2200 for two (approx.)
1527,Green Tadka,3.6/515 votes,"Goregaon West, North Western","North Indian,  Fast Food,  Chinese,  South Indian",15 votes,₹ 700 for two (approx.)
1528,Coffee By Di Bella,4.6/584 votes,"Carlton Court,Bandra West, Bandra","Fast Food,  Coffee,  Tea,  Desserts,  Waffle",84 votes,₹ 700 for two (approx.)
1529,Tavaa,3.8/582 votes,"Saqib CHS,Bandra West, Bandra","Chinese,  Mughlai,  Seafood",82 votes,₹ 800 for two (approx.)
1530,Wow! China by Wow! Momo,4.5/510 votes,"Gagangiri CHS,Bandra West, Bandra","Chinese,  Seafood",10 votes,₹ 1600 for two (approx.)
1531,Mamagoto,4.5/5312 votes,"Gazebo House,Bandra West, Bandra","Asian,  Chinese,  Thai,  Japanese,  Oriental ",312 votes,₹ 1500 for two (approx.)
1532,Boojee Cafe,5.0/54 votes,"Rays House CHS,Bandra West, Bandra","Fast Food,  Coffee",4 votes,₹ 800 for two (approx.)
1533,Fire Bowl,4.4/540 votes,"Malad West, North Western","Chinese,  Seafood",40 votes,₹ 800 for two (approx.)
1534,Misal Adda,3.8/52 votes,"Thane West, Thane","Maharashtrian,  Street Food",2 votes,₹ 200 for two (approx.)
1535,Spice It,4.1/530 votes,"Ibis Hotel,Turbhe, Navi Mumbai","Continental,  European,  North Indian,  Chinese",30 votes,₹ 1200 for two (approx.)
1536,The Nutcracker,4.6/5132 votes,"Bandra West, Bandra","European,  American",132 votes,₹ 1200 for two (approx.)
1537,Soul Fry,3.9/530 votes,"Silver Croft Building,Bandra West, Bandra","Seafood,  Goan",30 votes,₹ 1000 for two (approx.)
1538,Pablo - The Art Cafe Lounge,4.2/553 votes,"Turbhe, Navi Mumbai","Multi-Cuisine,  Continental,  European,  Seafood,  Modern Indian",53 votes,₹ 2500 for two (approx.)
1539,Persia Darbar,4.5/5119 votes,"Near Andheri West Station, Andheri West","North Indian,  Chinese,  Seafood",119 votes,₹ 1000 for two (approx.)
1540,Nav Kayastha Pangat,,"Vile Parle East, Andheri East",Maharashtrian,0,₹ 1000 for two (approx.)
1541,The Bagel Shop,4.4/566 votes,"Anand Villa,Bandra West, Bandra","Fast Food,  Continental,  American",66 votes,₹ 1000 for two (approx.)
1542,Thambbi,3.0/52 votes,"Gagangiri CHS,Thane West, Thane","North Indian,  South Indian",2 votes,₹ 800 for two (approx.)
1543,Tibbs Frankie,1.7/53 votes,"Inorbit Mall,Vashi, Navi Mumbai",Fast Food,3 votes,₹ 200 for two (approx.)
1544,Meraki,4.2/530 votes,"Bandra West, Bandra","Chinese,  Thai,  Burmese",30 votes,₹ 600 for two (approx.)
1545,Phelia Lounge,4.0/535 votes,"Goregaon West, North Western","Multi-Cuisine,  North Indian,  Oriental ,  Fast Food,  Modern Indian",35 votes,₹ 2000 for two (approx.)
1546,Banana Leaf,4.6/586 votes,"Malad West, North Western","South Indian,  Street Food",86 votes,₹ 1000 for two (approx.)
1547,Coffee By Di Bella,4.4/598 votes,"Mehta Building,Matunga East, South Mumbai","Fast Food,  Coffee,  Tea,  Desserts,  Waffle",98 votes,₹ 700 for two (approx.)
1548,Messy Addaa,4.6/562 votes,"Matunga East, South Mumbai","Fast Food,  Italian",62 votes,₹ 700 for two (approx.)
1549,Cafe Nutrithink,4.0/51 votes,"Panch Pakhadi, Thane","Continental,  Health Food",1 votes,₹ 1000 for two (approx.)
1550,By The Bae - Kitchen And Bar,4.1/5526 votes,"Versova, Andheri West","North Indian,  Italian,  Continental,  Street Food",526 votes,₹ 2000 for two (approx.)
1551,Frozen Bottle,4.4/560 votes,"Inorbit Mall,Malad West, North Western","Desserts,  Shakes,  Ice Cream",60 votes,₹ 500 for two (approx.)
1552,New York Burrito Company,4.3/559 votes,"Inorbit Mall,Malad West, North Western",Mexican,59 votes,₹ 600 for two (approx.)
1553,Bougainvillea,4.4/540 votes,"Turbhe, Navi Mumbai","North Indian,  Oriental ,  Chinese,  Continental",40 votes,₹ 1300 for two (approx.)
1554,Mad Over Donuts,4.3/532 votes,"Inorbit Mall,Malad West, North Western","Desserts,  Doughnuts,  Waffle",32 votes,₹ 450 for two (approx.)
1555,Bandra Gomantak,3.6/53 votes,"Bandra West, Bandra","Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Mughlai,  Malvani",3 votes,₹ 800 for two (approx.)
1556,Ottoman Cafe,4.3/527 votes,"Versova, Andheri West","North Indian,  Chinese,  Continental,  Mughlai",27 votes,₹ 1500 for two (approx.)
1557,Howra Burger,4.2/511 votes,"Dunhill Apartments,Bandra West, Bandra","Burger,  Fast Food",11 votes,₹ 600 for two (approx.)
1558,Mad Over Donuts,4.4/518 votes,"HyperCITY Mall,Malad West, North Western","Desserts,  Doughnuts,  Waffle",18 votes,₹ 450 for two (approx.)
1559,Kakori House,4.2/523 votes,"Shiv Sagar CHS,Mahim, South Mumbai","Mughlai,  Awadhi",23 votes,₹ 1500 for two (approx.)
1560,PizzAah! District,2.4/52 votes,"7 Bungalows, Andheri West","Italian,  Pizza,  Fast Food",2 votes,₹ 600 for two (approx.)
1561,British Waffle Co.,1.0/51 votes,"Vastu Tower,Goregaon East, North Western","Waffle,  Desserts,  Shakes",1 votes,₹ 400 for two (approx.)
1562,Tibbs Frankie,4.1/56 votes,"Inorbit Mall,Malad West, North Western",Fast Food,6 votes,₹ 200 for two (approx.)
1563,New Sernyaa,1.7/53 votes,"Adarsh Nagar, Andheri West","Tibetan,  Chinese,  Seafood,  Burmese",3 votes,₹ 800 for two (approx.)
1564,Shake N Crack,2.3/52 votes,"Sanpada, Navi Mumbai","Fast Food,  Shakes",2 votes,₹ 200 for two (approx.)
1565,6th Street Yogurt,4.5/545 votes,"Rachael Building,Bandra West, Bandra","Desserts,  Ice Cream,  Yogurt",45 votes,₹ 300 for two (approx.)
1566,Persia Darbar,4.6/5213 votes,"Malad West, North Western","North Indian,  Chinese,  Mughlai",213 votes,₹ 1000 for two (approx.)
1567,Eataeria,4.4/510 votes,"Bandra West, Bandra","Chinese,  North Indian,  Fast Food",10 votes,₹ 800 for two (approx.)
1568,Phelia Terrace,3.3/53 votes,"First Avenue,Goregaon West, North Western","North Indian,  Chinese,  Oriental ,  Fast Food",3 votes,₹ 2000 for two (approx.)
1569,Banana Leaf,4.3/530 votes,"Korum Mall,Thane West, Thane","South Indian,  Street Food",30 votes,₹ 1000 for two (approx.)
1570,Bachelorr's,4.2/520 votes,"Kosamda,Bandra West, Bandra","Juice,  Street Food,  Desserts,  Fast Food",20 votes,₹ 300 for two (approx.)
1571,Chaayos - Meri Wali Chai,4.5/58 votes,"Near Andheri West Station, Andheri West",Tea,8 votes,₹ 500 for two (approx.)
1572,Pop Tate's,4.3/5335 votes,"Parth Business Plaza,Malad West, North Western","Chinese,  Italian,  Continental",335 votes,₹ 2000 for two (approx.)
1573,Bruciato Food Factory,3.9/529 votes,"Near Andheri West Station, Andheri West","Italian,  Fast Food",29 votes,₹ 1000 for two (approx.)
1574,Tibbs Frankie,3.9/59 votes,"Korum Mall,Thane West, Thane",Fast Food,9 votes,₹ 200 for two (approx.)
1575,Wanton House,4.0/519 votes,"Shams Palace,Bandra West, Bandra","North Indian,  Asian,  Seafood,  Fast Food",19 votes,₹ 900 for two (approx.)
1576,HAS South Bombay,3.5/52 votes,"Inorbit Mall,Malad West, North Western","South Indian,  Health Food",2 votes,₹ 500 for two (approx.)
1577,Naans n Noodles,3.9/538 votes,"Hotel Yogi Midtown,Turbhe, Navi Mumbai","North Indian,  Chinese",38 votes,₹ 1000 for two (approx.)
1578,Kakori House,3.7/59 votes,"Bandra West, Bandra","Mughlai,  Awadhi",9 votes,₹ 1500 for two (approx.)
1579,Beyond - Wine & Dine,4.3/597 votes,"Malad West, North Western","North Indian,  Fast Food,  Italian,  Continental,  Mexican,  Oriental ",97 votes,₹ 2200 for two (approx.)
1580,Thangabali,4.4/5213 votes,"Manmohan Bhavan,Mahim, South Mumbai","South Indian,  North Indian,  Seafood",213 votes,₹ 1200 for two (approx.)
1581,Fire Bowl,4.3/533 votes,"Mangal Orchid CHS,Near Andheri West Station, Andheri West","Chinese,  Continental,  Thai,  Seafood",33 votes,₹ 800 for two (approx.)
1582,Dewano Daa Dhaba,4.5/57 votes,"Near Andheri West Station, Andheri West","North Indian,  Awadhi",7 votes,₹ 900 for two (approx.)
1583,Nomada,3.6/54 votes,"Near Andheri West Station, Andheri West","American,  Fast Food",4 votes,₹ 1500 for two (approx.)
1584,Coffee By Di Bella,4.4/5162 votes,"Versova, Andheri West","Fast Food,  Coffee,  Tea,  Desserts,  Waffle",162 votes,₹ 700 for two (approx.)
1585,Stir Fry Grill,4.3/542 votes,"Malad West, North Western","Chinese,  Thai",42 votes,₹ 1500 for two (approx.)
1586,The Food Studio,4.1/5236 votes,"Nisha Palace,Malad West, North Western","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",236 votes,₹ 1400 for two (approx.)
1587,Goa Portuguesa,4.3/5269 votes,"Mili CHS,Mahim, South Mumbai","Goan,  South Indian,  Seafood,  Maharashtrian,  Portuguese",269 votes,₹ 1500 for two (approx.)
1588,Sirocco,4.3/516 votes,"Versova, Andheri West","Italian,  Chinese",16 votes,₹ 1200 for two (approx.)
1589,Diva Maharashtracha,4.4/5158 votes,"Mili CHS,Mahim, South Mumbai","Maharashtrian,  Seafood,  Goan,  Konkani,  Malvani",158 votes,₹ 2000 for two (approx.)
1590,Yoko Sizzlers,4.3/583 votes,"Malad West, North Western","Fast Food,  Sizzlers,  Seafood",83 votes,₹ 2400 for two (approx.)
1591,SodaBottleOpenerWala,4.2/5287 votes,"Viviana Mall,Thane West, Thane","Parsi,  Iranian,  North Indian,  Street Food",287 votes,₹ 1600 for two (approx.)
1592,Dakshin Culture Curry,4.1/545 votes,"Mili CHS,Mahim, South Mumbai","South Indian,  Maharashtrian,  Goan,  Seafood,  Chettinad,  Malvani",45 votes,₹ 2000 for two (approx.)
1593,Mad Over Donuts,4.6/562 votes,"Viviana Mall,Thane West, Thane","Desserts,  Doughnuts,  Waffle",62 votes,₹ 450 for two (approx.)
1594,Sammy Sosa,4.3/538 votes,"Raj Infinia,Malad West, North Western","Italian,  Continental,  Mexican,  Asian,  Fast Food",38 votes,₹ 2200 for two (approx.)
1595,PizzaExpress,4.2/5265 votes,"Viviana Mall,Thane West, Thane","European,  Fast Food,  Italian",265 votes,₹ 2000 for two (approx.)
1596,Aromas Cafe,4.4/573 votes,"Viviana Mall,Thane West, Thane","Italian,  Fast Food,  Desserts,  Coffee,  Tea",73 votes,₹ 1000 for two (approx.)
1597,Mad Over Donuts,4.6/523 votes,"Growel's 101 Mall,Kandivali East, North Western","Desserts,  Doughnuts,  Waffle",23 votes,₹ 450 for two (approx.)
1598,Mainland China,4.3/5321 votes,"Viviana Mall,Thane West, Thane","Chinese,  Seafood,  Asian",321 votes,₹ 1800 for two (approx.)
1599,Coffee By Di Bella,4.2/5137 votes,"West Wind Apartment,Mahim, South Mumbai","Fast Food,  Coffee,  Tea,  Desserts,  Waffle",137 votes,₹ 700 for two (approx.)
1600,Pokket Cafe,4.2/514 votes,"Kandivali East, North Western","Fast Food,  Italian,  Chinese",14 votes,₹ 600 for two (approx.)
1601,Burgizza,,"Jogeshwari East, North Western","Fast Food,  Burger",0,₹ 500 for two (approx.)
1602,63 By - Lane,4.6/59 votes,"Evershine Millennium Paradise,Kandivali East, North Western","Italian,  Fast Food",9 votes,₹ 900 for two (approx.)
1603,Aditi Fast Food,3.7/55 votes,"Malad West, North Western","North Indian,  Chinese,  South Indian",5 votes,₹ 500 for two (approx.)
1604,Ambience All Day Dining,4.2/5105 votes,"Kandivali East, North Western","Continental,  Multi-Cuisine,  North Indian,  Chinese,  Seafood",105 votes,₹ 1500 for two (approx.)
1605,China Bistro,4.4/5304 votes,"Infinity Shopping Complex,Thane West, Thane","Multi-Cuisine,  Chinese,  Thai,  Japanese,  Seafood,  Asian,  Sushi",304 votes,₹ 2000 for two (approx.)
1606,TASCA Oriental Cuisine,4.2/564 votes,"Cosmos Paradise,Thane West, Thane","North Indian,  Asian,  Fast Food",64 votes,₹ 1000 for two (approx.)
1607,Tanatan,4.3/587 votes,"Vidya Bhavan,Dadar West, South Mumbai","North Indian,  Modern Indian,  Seafood",87 votes,₹ 1800 for two (approx.)
1608,Frozen Bottle,4.4/580 votes,"Viviana Mall,Thane West, Thane","Desserts,  Shakes,  Ice Cream",80 votes,₹ 500 for two (approx.)
1609,The Irish House,4.1/5191 votes,"Viviana Mall,Thane West, Thane","Continental,  American,  European",191 votes,₹ 2000 for two (approx.)
1610,High On Tea,4.2/512 votes,"Evershine Insat CHS,Kandivali East, North Western","Tea,  North Indian,  Italian",12 votes,₹ 600 for two (approx.)
1611,Gigil Brasserie,4.2/516 votes,"Kandivali East, North Western","Italian,  Fast Food,  Shakes",16 votes,₹ 1000 for two (approx.)
1612,Frozen Bottle,4.1/541 votes,"Infiniti Mall,Malad West, North Western","Desserts,  Shakes,  Ice Cream",41 votes,₹ 500 for two (approx.)
1613,Mad Over Donuts,4.7/546 votes,"Shakuntal Building,Dadar West, South Mumbai","Desserts,  Doughnuts,  Waffle",46 votes,₹ 450 for two (approx.)
1614,TIB - The Ice-cream Bakery,,"Ripples Mall,Airoli, Navi Mumbai",Ice Cream,0,₹ 300 for two (approx.)
1615,Yoko Sizzlers,3.9/528 votes,"Viviana Mall,Thane West, Thane","Fast Food,  Sizzlers,  Seafood",28 votes,₹ 2400 for two (approx.)
1616,Wah Maratha,3.8/513 votes,"Summer Castle Compound,Thane West, Thane","Maharashtrian,  Seafood",13 votes,₹ 400 for two (approx.)
1617,Silver Oaks,4.3/5128 votes,"Agarwal Centre,Malad West, North Western","Multi-Cuisine,  North Indian,  Chinese,  Continental,  Seafood,  Oriental ",128 votes,₹ 1500 for two (approx.)
1618,Coffee By Di Bella,4.6/5150 votes,"Jagdamba Commercial Complex,Malad West, North Western","Fast Food,  Coffee,  Tea,  Desserts,  Waffle",150 votes,₹ 1200 for two (approx.)
1619,Tibbs Frankie,3.9/527 votes,"Infiniti Mall,Malad West, North Western",Fast Food,27 votes,₹ 200 for two (approx.)
1620,Ebony Fine Dine,4.2/5433 votes,"Vishnu Shivam Mall,Kandivali East, North Western","Multi-Cuisine,  North Indian,  Chinese,  Continental,  Seafood,  Mughlai,  Oriental ",433 votes,₹ 1600 for two (approx.)
1621,Coffee By Di Bella,4.4/598 votes,"Devchhay Building,Dadar West, South Mumbai","Fast Food,  Coffee,  Tea,  Desserts,  Waffle",98 votes,₹ 700 for two (approx.)
1622,The Momo Factory,3.5/520 votes,"Hari Niwas,Dadar West, South Mumbai","Tibetan,  Fast Food",20 votes,₹ 400 for two (approx.)
1623,Tibbs Frankie,4.3/537 votes,"Dadar West, South Mumbai",Fast Food,37 votes,₹ 200 for two (approx.)
1624,Tibbs Frankie,4.0/546 votes,"Viviana Mall,Thane West, Thane",Fast Food,46 votes,₹ 200 for two (approx.)
1625,The Flip Bar,4.2/5107 votes,"Vishnu Shivam Mall,Kandivali East, North Western","Finger Food,  Italian,  Continental,  Seafood",107 votes,₹ 1000 for two (approx.)
1626,Alfredo's,4.0/521 votes,"Pleasant Park,Malad West, North Western","Italian,  Fast Food",21 votes,₹ 1200 for two (approx.)
1627,Chaayos - Meri Wali Chai,3.8/55 votes,"Viviana Mall,Thane West, Thane",Tea,5 votes,₹ 500 for two (approx.)
1628,Angrezi Dhaba,4.1/51343 votes,"Nakshtra Mall,Dadar West, South Mumbai","North Indian,  Chinese,  Asian,  Seafood,  Mughlai",1343 votes,₹ 1500 for two (approx.)
1629,1441 Pizzeria,4.3/5111 votes,"Raj Infinia,Malad West, North Western","Pizza,  Italian",111 votes,₹ 1200 for two (approx.)
1630,The Burrow Cafe,4.1/519 votes,"Malad West, North Western","Continental,  American",19 votes,₹ 500 for two (approx.)
1631,Chinese Wok (Wok Express),3.6/538 votes,"Viviana Mall,Thane West, Thane","Chinese,  Thai,  Asian",38 votes,₹ 800 for two (approx.)
1632,Urban Tadka,4.3/5115 votes,"Parth Business Plaza,Malad West, North Western","North Indian,  Mughlai",115 votes,₹ 1600 for two (approx.)
1633,Cafe Java,,"Yashodham Shopping Centre,Goregaon East, North Western","Coffee,  Fast Food",0,₹ 500 for two (approx.)
1634,Ming Yang,4.5/586 votes,"Taj Lands End Hotel,Bandra West, Bandra","Chinese,  Thai,  Seafood",86 votes,₹ 4000 for two (approx.)
1635,Laziz Pizza,,"Airoli, Navi Mumbai","Fast Food,  Pizza",0,₹ 500 for two (approx.)
1636,Cairo Grill,,"Khar West, Bandra","Fast Food,  Lebanese",0,₹ 900 for two (approx.)
1637,Think Juice Cafe,,"Oshiwara, North Western","Ice Cream,  Shakes",0,₹ 300 for two (approx.)
1638,Froozo,2.2/510 votes,"King Palace,Malad West, North Western","Desserts,  Ice Cream,  Fast Food",10 votes,₹ 800 for two (approx.)
1639,Tokyo Treat,,"Khar West, Bandra",Japanese,0,₹ 1000 for two (approx.)
1640,Hotel Rishi,4.2/527 votes,"Shinde Estate,Dadar East, South Mumbai","North Indian,  Chinese,  Seafood",27 votes,₹ 1200 for two (approx.)
1641,Paratha World,,"Juhu, Andheri West","North Indian,  Street Food",0,₹ 900 for two (approx.)
