,Name,Rating,Location,Cuisine,Votes,Cost
6346,Barbeque,4.0/517 votes,"Cidade De Goa,Panjim, North Goa","Seafood,  Barbecue,  Sizzlers",17 votes,₹ 2200 for two (approx.)
6347,Cafe Et Cetera,4.4/514 votes,"Ginger Hotel,Dona Paula, North Goa","North Indian,  Continental",14 votes,₹ 1000 for two (approx.)
6348,Navtara,3.9/533 votes,"Patto Centre,Panjim, North Goa","Multi-Cuisine,  North Indian,  South Indian,  Goan",33 votes,₹ 500 for two (approx.)
6349,Tulip Multi Cuisine,4.2/518 votes,"Park Prime Goa,Panjim, North Goa","North Indian,  Chinese,  Continental,  Goan",18 votes,₹ 1200 for two (approx.)
6350,Park Prime Rooftop,3.5/526 votes,"Park Prime Goa,Panjim, North Goa","North Indian,  Goan,  Continental,  Seafood",26 votes,₹ 1000 for two (approx.)
6351,Cafe-et-cetera,3.8/515 votes,"Panjim, North Goa","North Indian,  Chinese,  Continental",15 votes,₹ 800 for two (approx.)
6352,Route 66,3.4/524 votes,"Panjim, North Goa","American,  Barbecue,  European",24 votes,₹ 1500 for two (approx.)
6353,Cremeux,4.3/530 votes,"Panjim, North Goa","Italian,  Fast Food,  Desserts",30 votes,₹ 800 for two (approx.)
6354,Navtara,3.9/545 votes,"Panjim, North Goa","Multi-Cuisine,  North Indian,  South Indian,  Goan",45 votes,₹ 500 for two (approx.)
6355,Waterfront Terrace And Bar,4.6/554 votes,"Goa Marriott Resort and Spa,Panjim, North Goa","North Indian,  Italian,  Continental,  Goan",54 votes,₹ 2300 for two (approx.)
6356,Wan Hao,4.5/521 votes,"Goa Marriott Resort and Spa,Panjim, North Goa","Asian,  Chinese,  Thai",21 votes,₹ 2300 for two (approx.)
6357,Charlie Chang's,5.0/51 votes,"Porvorim, North Goa","Chinese,  Seafood",1 votes,₹ 700 for two (approx.)
6358,O Goa,2.2/51 votes,"Hotel Fidalgo,Panjim, North Goa","Seafood,  Goan",1 votes,₹ 1500 for two (approx.)
6359,O Coqueiro,4.3/542 votes,"Alto Porvorim, North Goa","Goan,  Portuguese,  North Indian,  Seafood,  Asian",42 votes,₹ 1200 for two (approx.)
6360,New Matsya Sagar,4.7/53 votes,"Porvorim, North Goa","North Indian,  Goan,  Chinese,  Seafood",3 votes,₹ 700 for two (approx.)
6361,Navtara,4.1/543 votes,"Porvorim, North Goa","Multi-Cuisine,  North Indian,  South Indian,  Goan",43 votes,₹ 500 for two (approx.)
6362,Copperleaf,4.6/5210 votes,"Alto Porvorim, North Goa","North Indian,  Chinese,  Goan",210 votes,₹ 1300 for two (approx.)
6363,Charlie Chang's,,"Panjim, North Goa","Chinese,  Seafood",0,₹ 800 for two (approx.)
6364,Morgan's Place,4.2/543 votes,"Sangolda, North Goa","Italian,  Continental",43 votes,₹ 900 for two (approx.)
6365,Pings Bia Hoi,4.4/511 votes,"Porvorim, North Goa",Asian,11 votes,₹ 1400 for two (approx.)
6366,Soi,4.3/515 votes,"Candolim, North Goa","Goan,  Seafood",15 votes,₹ 1500 for two (approx.)
6367,Palms n Sands,4.1/58 votes,"Candolim, North Goa","North Indian,  Goan,  Oriental ,  Continental,  Seafood",8 votes,₹ 1000 for two (approx.)
6368,Yaki Zushi,4.1/530 votes,"Sangolda, North Goa","Asian,  Chinese,  Thai,  Japanese,  Seafood",30 votes,₹ 1600 for two (approx.)
6369,Sunken Bar,3.7/51 votes,"Candolim, North Goa",Finger Food,1 votes,₹ 2000 for two (approx.)
6370,Spice Mantraa,4.6/519 votes,"Candolim, North Goa","North Indian,  Goan",19 votes,₹ 1400 for two (approx.)
6371,Noaa,4.7/58 votes,"Candolim, North Goa","Asian,  Finger Food",8 votes,₹ 2000 for two (approx.)
6372,Grok,4.2/567 votes,"Hyatt Centric Candolim Goa,Candolim, North Goa","Goan,  Modern Indian",67 votes,₹ 1500 for two (approx.)
6373,Navtara,4.2/518 votes,"Mapusa, North Goa","Multi-Cuisine,  North Indian,  South Indian,  Goan",18 votes,₹ 500 for two (approx.)
6374,Love Fine Dining,4.3/515 votes,"The Park,Calangute, North Goa","Multi-Cuisine,  North Indian,  Italian,  Seafood,  Goan",15 votes,₹ 1800 for two (approx.)
6375,Navtara,4.2/541 votes,"Calangute, North Goa","Multi-Cuisine,  North Indian,  South Indian,  Goan",41 votes,₹ 500 for two (approx.)
6376,Peace,3.8/56 votes,"The Park,Calangute, North Goa","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",6 votes,₹ 1700 for two (approx.)
6377,Just Lobos,4.2/549 votes,"Calangute, North Goa","Goan,  North Indian,  Continental",49 votes,₹ 600 for two (approx.)
6378,Navtara,4.2/562 votes,"Calangute, North Goa","Multi-Cuisine,  North Indian,  South Indian,  Goan",62 votes,₹ 500 for two (approx.)
6379,Navtara,3.8/518 votes,"Mapusa, North Goa","Multi-Cuisine,  North Indian,  South Indian,  Goan",18 votes,₹ 500 for two (approx.)
6380,Jalsa,3.9/59 votes,"Resort Rio,Arpora, North Goa","Gujarati,  Rajasthani",9 votes,₹ 2800 for two (approx.)
6381,Sublime,4.9/57 votes,"Assagao, North Goa",European,7 votes,₹ 1800 for two (approx.)
6382,Jamun,4.6/522 votes,"Assagao, North Goa","North Indian,  Goan",22 votes,₹ 1800 for two (approx.)
6383,Purple Martini,4.0/5231 votes,"Anjuna, North Goa","Multi-Cuisine,  North Indian,  Italian,  Continental,  Seafood,  Oriental ",231 votes,₹ 1800 for two (approx.)
6384,Navtara,3.9/517 votes,"Siolim, North Goa","Multi-Cuisine,  North Indian,  South Indian,  Goan",17 votes,₹ 500 for two (approx.)
6385,Woo Bar,4.5/54 votes,"W Goa,Vagator, North Goa","Continental,  Finger Food",4 votes,₹ 3100 for two (approx.)
6386,The Kitchen Table,4.5/58 votes,"W Goa,Vagator, North Goa","North Indian,  Goan,  Continental",8 votes,₹ 2700 for two (approx.)
6387,Tomato's Beachside Kitchen And Bar,4.2/565 votes,"Morjim, North Goa","Multi-Cuisine,  North Indian,  Italian,  Continental,  European",65 votes,₹ 1400 for two (approx.)
6388,Cafe Lazy Mojo,4.1/592 votes,"C Scheme, Central Jaipur","Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  American",92 votes,₹ 1200 for two (approx.)
6389,Kaleidoscope,4.1/5144 votes,"C Scheme, Central Jaipur","North Indian,  Italian,  Mexican,  Fast Food",144 votes,₹ 1000 for two (approx.)
6390,Cava - The Uptown Lounge,4.1/5241 votes,"Gopalbari, North Jaipur","North Indian,  Italian",241 votes,₹ 2500 for two (approx.)
6391,Spice Court,4.2/545 votes,"Civil Lines, Central Jaipur","North Indian,  Rajasthani,  Chinese,  Continental",45 votes,₹ 1300 for two (approx.)
6392,Tan-Sukh,4.3/576 votes,"C Scheme, Central Jaipur","Multi-Cuisine,  North Indian,  Italian,  Mexican,  Oriental ,  Rajasthani",76 votes,₹ 1200 for two (approx.)
6393,Meraaki Kitchen,4.6/586 votes,"Civil Lines, Central Jaipur","Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  Asian",86 votes,₹ 1800 for two (approx.)
6394,Cafe White Sage,5.0/53 votes,"Civil Lines, Central Jaipur","Italian,  Continental,  Asian",3 votes,₹ 1400 for two (approx.)
6395,The Lama,5.0/52 votes,"C Scheme, Central Jaipur",Continental,2 votes,₹ 1200 for two (approx.)
6396,Cafe Bae,4.4/599 votes,"Bais Godam, Central Jaipur","Multi-Cuisine,  Italian,  Continental,  Mexican,  French,  Oriental ",99 votes,₹ 1300 for two (approx.)
6397,Kanha,4.6/529 votes,"C Scheme, Central Jaipur","North Indian,  Fast Food,  Chinese,  South Indian",29 votes,₹ 500 for two (approx.)
6398,WTF Sports Cafe And Bar,3.8/542 votes,"Man Upasana Mall,C Scheme, Central Jaipur","Multi-Cuisine,  North Indian,  Italian,  Oriental ",42 votes,₹ 2000 for two (approx.)
6399,Monarch Restaurant,4.1/557 votes,"Holiday Inn Jaipur City Centre,Bais Godam, Central Jaipur","North Indian,  Continental",57 votes,₹ 2100 for two (approx.)
6400,Dragon House,4.4/541 votes,"Radisson Jaipur City Center,Mirza Ismail Road, West Jaipur","Chinese,  Thai",41 votes,₹ 2500 for two (approx.)
6401,D Three,4.2/5182 votes,"C Scheme, Central Jaipur","North Indian,  Chinese,  Continental,  Mexican,  Fast Food",182 votes,₹ 1000 for two (approx.)
6402,Brewtown,4.9/57 votes,"C Scheme, Central Jaipur","Italian,  Fast Food",7 votes,₹ 400 for two (approx.)
6403,Thali and More,4.4/5163 votes,"C Scheme, Central Jaipur","North Indian,  Chinese,  Italian,  South Indian",163 votes,₹ 1000 for two (approx.)
6404,Nibs Cafe And Chocolataria,4.5/519 votes,"Gopalbari, North Jaipur","Italian,  Desserts,  Fast Food,  Shakes",19 votes,₹ 1000 for two (approx.)
6405,Napoli Pizzeria & Bistro,4.2/59 votes,"C Scheme, Central Jaipur","Italian,  Pizza",9 votes,₹ 900 for two (approx.)
